player,playerLabel,sitelinks
http://www.wikidata.org/entity/Q947932,Terrence Ross,22
http://www.wikidata.org/entity/Q1653956,Nicolò Melli,22
http://www.wikidata.org/entity/Q769073,Big Cass,22
http://www.wikidata.org/entity/Q770894,Thomas Robinson,22
http://www.wikidata.org/entity/Q960106,Nikoloz Tskitishvili,22
http://www.wikidata.org/entity/Q603957,Semyon Antonov,22
http://www.wikidata.org/entity/Q965531,Ekpe Udoh,22
http://www.wikidata.org/entity/Q609300,Dorell Wright,22
http://www.wikidata.org/entity/Q965738,Zoran Slavnić,22
http://www.wikidata.org/entity/Q968705,Wayman Tisdale,22
http://www.wikidata.org/entity/Q386736,Will Barton,22
http://www.wikidata.org/entity/Q386995,Brad Miller,22
http://www.wikidata.org/entity/Q681735,Louis Amundson,22
http://www.wikidata.org/entity/Q381762,Didier Mbenga,22
http://www.wikidata.org/entity/Q382285,Josh Howard,22
http://www.wikidata.org/entity/Q447346,Nikola Vujčić,22
http://www.wikidata.org/entity/Q448245,Alvan Adams,22
http://www.wikidata.org/entity/Q982087,Denis Marconato,22
http://www.wikidata.org/entity/Q438960,Lynette Woodard,22
http://www.wikidata.org/entity/Q456702,Troy Murphy,22
http://www.wikidata.org/entity/Q725890,Larry Hughes,22
http://www.wikidata.org/entity/Q459413,Lindsey Hunter,22
http://www.wikidata.org/entity/Q731502,Scott Brooks,22
http://www.wikidata.org/entity/Q732350,Doug McDermott,22
http://www.wikidata.org/entity/Q735730,Eddie Jones,22
http://www.wikidata.org/entity/Q704922,Cesare Rubini,22
http://www.wikidata.org/entity/Q705206,Bill Laimbeer,22
http://www.wikidata.org/entity/Q705209,Marko Tomas,22
http://www.wikidata.org/entity/Q706180,Nazr Mohammed,22
http://www.wikidata.org/entity/Q741278,Yannis Bourousis,22
