player,playerLabel,sitelinkCount
http://www.wikidata.org/entity/Q70386,Chris Welp,14
http://www.wikidata.org/entity/Q69225,Konrad Wysocki,11
http://www.wikidata.org/entity/Q69010,Henrik Rödl,13
http://www.wikidata.org/entity/Q68979,Misan Haldin,11
http://www.wikidata.org/entity/Q68154,Pascal Roller,11
http://www.wikidata.org/entity/Q68145,Stephanie Storp,14
http://www.wikidata.org/entity/Q297474,Ömer Aşık,34
http://www.wikidata.org/entity/Q297221,Kevin Love,42
http://www.wikidata.org/entity/Q240672,Sue Bird,36
http://www.wikidata.org/entity/Q240278,Lance Blanks,14
http://www.wikidata.org/entity/Q629973,John Calipari,11
http://www.wikidata.org/entity/Q629248,Božidar Maljković,15
http://www.wikidata.org/entity/Q628668,Damon Jones,12
http://www.wikidata.org/entity/Q628422,Geert Hammink,13
http://www.wikidata.org/entity/Q174663,Walter Szczerbiak,13
http://www.wikidata.org/entity/Q174599,Jim Calhoun,11
http://www.wikidata.org/entity/Q174067,Marijonas Petravičius,15
http://www.wikidata.org/entity/Q297146,Tyson Chandler,37
http://www.wikidata.org/entity/Q296403,Lamar Odom,41
http://www.wikidata.org/entity/Q295521,Tayshaun Prince,38
http://www.wikidata.org/entity/Q172140,Michael Crichton,82
http://www.wikidata.org/entity/Q169452,Shaquille O'Neal,79
http://www.wikidata.org/entity/Q67858,Robin Benzing,20
http://www.wikidata.org/entity/Q67709,Sven Schultze,11
http://www.wikidata.org/entity/Q66653,Steffen Hamann,16
http://www.wikidata.org/entity/Q66647,Jan Jagla,16
http://www.wikidata.org/entity/Q65594,Boniface N'Dong,12
http://www.wikidata.org/entity/Q167748,Terrell McIntyre,14
http://www.wikidata.org/entity/Q167665,Kristen Mann,11
http://www.wikidata.org/entity/Q166871,Kemba Walker,30
http://www.wikidata.org/entity/Q165698,Hur Jae,13
http://www.wikidata.org/entity/Q224535,Bobby Dixon,16
http://www.wikidata.org/entity/Q222851,Harrison Barnes,32
http://www.wikidata.org/entity/Q221482,Jim Thorpe,59
http://www.wikidata.org/entity/Q221341,Jason Kidd,42
http://www.wikidata.org/entity/Q220565,Zoran Planinić,26
http://www.wikidata.org/entity/Q217672,Lamont Hamilton,13
http://www.wikidata.org/entity/Q217632,Malcolm Delaney,19
http://www.wikidata.org/entity/Q49030,Ish Smith,25
http://www.wikidata.org/entity/Q48845,Jeffery Taylor,22
http://www.wikidata.org/entity/Q295364,Ben Wallace,38
http://www.wikidata.org/entity/Q295340,Clyde Drexler,39
http://www.wikidata.org/entity/Q628273,Saša Obradović,20
http://www.wikidata.org/entity/Q628219,Yotam Halperin,17
http://www.wikidata.org/entity/Q628060,Sabahudin Bilalović,12
http://www.wikidata.org/entity/Q626588,Clémence Beikes,14
http://www.wikidata.org/entity/Q213706,Tom Selleck,55
http://www.wikidata.org/entity/Q282290,Buddy Jeannette,16
http://www.wikidata.org/entity/Q281499,Larry Steele,13
http://www.wikidata.org/entity/Q280793,Kevin Nash,36
http://www.wikidata.org/entity/Q280478,Rodolfo Rombaldoni,14
http://www.wikidata.org/entity/Q294788,Andrei Kirilenko,43
http://www.wikidata.org/entity/Q294004,Maria Stepanova,23
http://www.wikidata.org/entity/Q65462,Dirk Bauermann,15
http://www.wikidata.org/entity/Q65039,Dion Waiters,24
http://www.wikidata.org/entity/Q62873,Tibor Pleiß,26
http://www.wikidata.org/entity/Q62735,Patrick Femerling,18
http://www.wikidata.org/entity/Q209368,Raško Katić,19
http://www.wikidata.org/entity/Q142214,Dino Rađa,33
http://www.wikidata.org/entity/Q139903,Zackary Wright,14
http://www.wikidata.org/entity/Q139376,Zach Randolph,28
http://www.wikidata.org/entity/Q163908,George Halas,15
http://www.wikidata.org/entity/Q163754,Johnny Rogers,13
http://www.wikidata.org/entity/Q161817,Dahntay Jones,20
http://www.wikidata.org/entity/Q158123,Franz Vranitzky,43
http://www.wikidata.org/entity/Q280437,Mario Kasun,18
http://www.wikidata.org/entity/Q280376,Rolando Blackman,18
http://www.wikidata.org/entity/Q280025,Uvis Helmanis,12
http://www.wikidata.org/entity/Q278203,Malik Sealy,13
http://www.wikidata.org/entity/Q155928,Avery Brundage,39
http://www.wikidata.org/entity/Q151553,Drago Pašalić,14
http://www.wikidata.org/entity/Q150510,Shawn Kemp,30
http://www.wikidata.org/entity/Q623595,Ara Parseghian,13
http://www.wikidata.org/entity/Q623445,Jenni Screen,19
http://www.wikidata.org/entity/Q622737,Laura Summerton,18
http://www.wikidata.org/entity/Q622735,Kathleen MacLeod,14
http://www.wikidata.org/entity/Q622734,Kristi Harrower,20
http://www.wikidata.org/entity/Q622733,Rachel Jarry,17
http://www.wikidata.org/entity/Q291851,Angel McCoughtry,22
http://www.wikidata.org/entity/Q289398,Chris Mullin,38
http://www.wikidata.org/entity/Q150502,Muggsy Bogues,35
http://www.wikidata.org/entity/Q150327,Danny Ferry,16
http://www.wikidata.org/entity/Q147900,Emilio Kovačić,12
http://www.wikidata.org/entity/Q144703,Kevin Willis,21
http://www.wikidata.org/entity/Q61675,Detlef Schrempf,28
http://www.wikidata.org/entity/Q60478,DeAndre Jordan,33
http://www.wikidata.org/entity/Q60118,Danilo Gallinari,34
http://www.wikidata.org/entity/Q213346,John Stockton,49
http://www.wikidata.org/entity/Q213132,Manu Ginóbili,46
http://www.wikidata.org/entity/Q212421,Ricky Rubio,43
http://www.wikidata.org/entity/Q289172,Tina Charles,25
http://www.wikidata.org/entity/Q288960,Josep Franch,11
http://www.wikidata.org/entity/Q288853,Mel Daniels,19
http://www.wikidata.org/entity/Q287176,Milenko Tepić,18
http://www.wikidata.org/entity/Q286765,Chase Budinger,25
http://www.wikidata.org/entity/Q276326,Essence Carson,13
http://www.wikidata.org/entity/Q276311,Tanisha Wright,12
http://www.wikidata.org/entity/Q275889,Marc Gasol,45
http://www.wikidata.org/entity/Q48842,Festus Ezeli,23
http://www.wikidata.org/entity/Q48839,Maalik Wayns,11
http://www.wikidata.org/entity/Q48838,Arnett Moultrie,13
http://www.wikidata.org/entity/Q48830,Tomislav Zubčić,14
http://www.wikidata.org/entity/Q59547,Thaddeus Young,26
http://www.wikidata.org/entity/Q58590,Yao Ming,61
http://www.wikidata.org/entity/Q211876,David Robinson,47
http://www.wikidata.org/entity/Q211376,Rimantas Kaukėnas,21
http://www.wikidata.org/entity/Q208623,Ray Allen,47
http://www.wikidata.org/entity/Q275795,Candice Wiggins,12
http://www.wikidata.org/entity/Q275788,Lindsey Harding,15
http://www.wikidata.org/entity/Q275776,Wendy Palmer,11
http://www.wikidata.org/entity/Q275767,Roneeka Hodges,11
http://www.wikidata.org/entity/Q275745,Tamera Young,12
http://www.wikidata.org/entity/Q286580,Vida Beselienė,13
http://www.wikidata.org/entity/Q284820,Diante Garrett,12
http://www.wikidata.org/entity/Q283758,Bob Hill,11
http://www.wikidata.org/entity/Q282975,Marina Tkachenko,14
http://www.wikidata.org/entity/Q282811,Kerem Gönlüm,13
http://www.wikidata.org/entity/Q282565,Helen Luz,15
http://www.wikidata.org/entity/Q275738,Janel McCarville,11
http://www.wikidata.org/entity/Q275350,Noelle Quinn,12
http://www.wikidata.org/entity/Q275326,Tan White,13
http://www.wikidata.org/entity/Q275307,Temeka Johnson,12
http://www.wikidata.org/entity/Q209982,Dražen Petrović,58
http://www.wikidata.org/entity/Q209921,Julius Erving,51
http://www.wikidata.org/entity/Q209396,Marion Jones,48
http://www.wikidata.org/entity/Q278116,Carlos Delfino,32
http://www.wikidata.org/entity/Q277780,Peja Stojaković,43
http://www.wikidata.org/entity/Q47085,Olga Fikotová,28
http://www.wikidata.org/entity/Q47073,Dragan Tarlać,17
http://www.wikidata.org/entity/Q46125,Donatas Zavackas,11
http://www.wikidata.org/entity/Q46040,Chris Paul,54
http://www.wikidata.org/entity/Q207608,Doron Lamb,12
http://www.wikidata.org/entity/Q205823,Chuck Eidson,17
http://www.wikidata.org/entity/Q205326,Derrick Rose,56
http://www.wikidata.org/entity/Q58335,Leandro Barbosa,38
http://www.wikidata.org/entity/Q57596,Shawn Bradley,32
http://www.wikidata.org/entity/Q54686,Tony Trabert,27
http://www.wikidata.org/entity/Q52604,Bob Beamon,52
http://www.wikidata.org/entity/Q139081,Léo Westermann,20
http://www.wikidata.org/entity/Q137450,Paul Davis,13
http://www.wikidata.org/entity/Q136816,Andre Iguodala,42
http://www.wikidata.org/entity/Q42660,Haluk Yıldırım,11
http://www.wikidata.org/entity/Q42658,Harun Erdenay,13
http://www.wikidata.org/entity/Q42615,Georgi Glouchkov,11
http://www.wikidata.org/entity/Q115634,Nikita Kurbanov,18
http://www.wikidata.org/entity/Q115629,Anatoly Kashirov,11
http://www.wikidata.org/entity/Q112847,Alana Beard,15
http://www.wikidata.org/entity/Q275183,Luol Deng,41
http://www.wikidata.org/entity/Q274469,Rajon Rondo,43
http://www.wikidata.org/entity/Q273256,Hakeem Olajuwon,56
http://www.wikidata.org/entity/Q204285,Josh Powell,19
http://www.wikidata.org/entity/Q204018,J. Cole,47
http://www.wikidata.org/entity/Q203331,Roko Ukić,24
http://www.wikidata.org/entity/Q112449,Stacey King,15
http://www.wikidata.org/entity/Q44378,Paul Wight,44
http://www.wikidata.org/entity/Q44068,Dirk Nowitzki,61
http://www.wikidata.org/entity/Q203286,Kevin Johnson,23
http://www.wikidata.org/entity/Q202823,Seimone Augustus,25
http://www.wikidata.org/entity/Q202584,Dean Smith,23
http://www.wikidata.org/entity/Q273233,Paul Robeson,53
http://www.wikidata.org/entity/Q202295,Tracy McGrady,45
http://www.wikidata.org/entity/Q201768,Goran Jeretin,11
http://www.wikidata.org/entity/Q201608,Dennis Rodman,60
http://www.wikidata.org/entity/Q273055,R. Kelly,88
http://www.wikidata.org/entity/Q271933,Patrick Ewing,43
http://www.wikidata.org/entity/Q271441,Nancy Lieberman,22
http://www.wikidata.org/entity/Q104382,Karsten Tadda,11
http://www.wikidata.org/entity/Q201386,Chris Bosh,47
http://www.wikidata.org/entity/Q201365,Micheline Ostermeyer,29
http://www.wikidata.org/entity/Q270981,Amar'e Stoudemire,39
http://www.wikidata.org/entity/Q270975,Rasheed Wallace,39
http://www.wikidata.org/entity/Q199896,Karl Malone,57
http://www.wikidata.org/entity/Q198027,Vítor Benite,12
http://www.wikidata.org/entity/Q197616,Zheng Haixia,15
http://www.wikidata.org/entity/Q196245,Mike Barrett,18
http://www.wikidata.org/entity/Q270966,Reggie Miller,45
http://www.wikidata.org/entity/Q270947,Anne Donovan,25
http://www.wikidata.org/entity/Q270683,Sheryl Swoopes,27
http://www.wikidata.org/entity/Q41421,Michael Jordan,135
http://www.wikidata.org/entity/Q40657,Terrence Jones,22
http://www.wikidata.org/entity/Q136678,James Harden,52
http://www.wikidata.org/entity/Q270653,Lauren Jackson,34
http://www.wikidata.org/entity/Q269018,Mantas Kalnietis,24
http://www.wikidata.org/entity/Q268943,Paolo Quinteros,18
http://www.wikidata.org/entity/Q268303,Kevin Porter,13
http://www.wikidata.org/entity/Q267765,Cheryl Miller,21
http://www.wikidata.org/entity/Q40444,Kevin McHale,38
http://www.wikidata.org/entity/Q196185,Russell Westbrook,54
http://www.wikidata.org/entity/Q195168,Alex Acker,24
http://www.wikidata.org/entity/Q98594,Maik Zirbes,14
http://www.wikidata.org/entity/Q134183,Magic Johnson,81
http://www.wikidata.org/entity/Q132208,Joe Johnson,34
http://www.wikidata.org/entity/Q131942,Kendrick Perkins,28
http://www.wikidata.org/entity/Q36159,LeBron James,107
http://www.wikidata.org/entity/Q32253,Luke Ridnour,23
http://www.wikidata.org/entity/Q193637,Scottie Pippen,55
http://www.wikidata.org/entity/Q193108,Tony Parker,55
http://www.wikidata.org/entity/Q267636,Dawn Staley,24
http://www.wikidata.org/entity/Q267338,Igors Miglinieks,19
http://www.wikidata.org/entity/Q267190,Obie Trotter,12
http://www.wikidata.org/entity/Q265383,Thomas Heurtel,24
http://www.wikidata.org/entity/Q131237,Carl Lewis,76
http://www.wikidata.org/entity/Q129668,2 Chainz,38
http://www.wikidata.org/entity/Q193052,Pau Gasol,54
http://www.wikidata.org/entity/Q94846,Vlade Divac,47
http://www.wikidata.org/entity/Q93587,James Augustine,18
http://www.wikidata.org/entity/Q193020,Tim Duncan,62
http://www.wikidata.org/entity/Q192955,Steve Nash,52
http://www.wikidata.org/entity/Q31683,Dwyane Wade,58
http://www.wikidata.org/entity/Q31554,Jonas Kazlauskas,21
http://www.wikidata.org/entity/Q29604,Yinka Dare,14
http://www.wikidata.org/entity/Q129408,Kenny Rollins,20
http://www.wikidata.org/entity/Q129041,Carmelo Anthony,51
http://www.wikidata.org/entity/Q87053,Marko Pešić,11
http://www.wikidata.org/entity/Q83554,Dwight Buycks,12
http://www.wikidata.org/entity/Q82004,Bobby Brown,16
http://www.wikidata.org/entity/Q77797,Heiko Schaffartzik,19
http://www.wikidata.org/entity/Q29545,Kevin Durant,74
http://www.wikidata.org/entity/Q264440,Penny Taylor,22
http://www.wikidata.org/entity/Q264393,Dave Cowens,34
http://www.wikidata.org/entity/Q260671,Quanitra Hollingsworth,14
http://www.wikidata.org/entity/Q127561,John Salmons,17
http://www.wikidata.org/entity/Q127125,Mark Price,22
http://www.wikidata.org/entity/Q29342,Klay Thompson,49
http://www.wikidata.org/entity/Q29336,Maurice Harkless,20
http://www.wikidata.org/entity/Q28932,Matt Morgan,15
http://www.wikidata.org/entity/Q77786,Lucca Staiger,15
http://www.wikidata.org/entity/Q77783,Demond Greene,16
http://www.wikidata.org/entity/Q77165,Ademola Okulaja,15
http://www.wikidata.org/entity/Q77044,Chris Kaman,32
http://www.wikidata.org/entity/Q259606,Esther Vergeer,23
http://www.wikidata.org/entity/Q259401,Alex Groza,22
http://www.wikidata.org/entity/Q257980,Lisa Leslie,35
http://www.wikidata.org/entity/Q25369,Kobe Bryant,113
http://www.wikidata.org/entity/Q125498,Tiit Sokk,22
http://www.wikidata.org/entity/Q125060,Sergio Rodríguez,31
http://www.wikidata.org/entity/Q124940,Deanna Nolan,15
http://www.wikidata.org/entity/Q25278,Dwight Howard,47
http://www.wikidata.org/entity/Q24519,Tony Wroten,18
http://www.wikidata.org/entity/Q24410,Jonas Mačiulis,27
http://www.wikidata.org/entity/Q24200,Shabazz Napier,23
http://www.wikidata.org/entity/Q24178,Marreese Speights,24
http://www.wikidata.org/entity/Q24002,Andy Panko,15
http://www.wikidata.org/entity/Q23943,Rod Hundley,20
http://www.wikidata.org/entity/Q256179,Angéla Németh,26
http://www.wikidata.org/entity/Q255690,Šárka Kašpárková,25
http://www.wikidata.org/entity/Q255597,Crystal Langhorne,14
http://www.wikidata.org/entity/Q255518,Tamika Catchings,27
http://www.wikidata.org/entity/Q192707,Charles Barkley,62
http://www.wikidata.org/entity/Q190152,Larry Bird,78
http://www.wikidata.org/entity/Q74005,Vitor Faverani,12
http://www.wikidata.org/entity/Q73426,Mario Stojić,12
http://www.wikidata.org/entity/Q190094,Allen Iverson,56
